STREET,CITY,ZIP-CODE,BEDROOMS,BATHS,AREA(SQ-FT),PRICE,PRICE/SQ-FT,PROPERTY AGE,LOCALITY RATING,TYPE,SALE-DAY,SALE DATE,LATTITUDE,LONGITUDE
5221 38TH AVE,SACRAMENTO,95824,2,1,746,78400,105.09,9,3,Residential,Tuesday,20-May,38.518044,-121.443555
6112 HERMOSA ST,SACRAMENTO,95822,3,1,1067,80000,74.98,18,2,Residential,Tuesday,20-May,38.515125,-121.480416
483 ARCADE BLVD,SACRAMENTO,95815,4,2,1316,89000,67.63,7,9,Residential,Tuesday,20-May,38.623571,-121.454884
671 SONOMA AVE,SACRAMENTO,95815,3,1,1337,90000,67.31,15,9,Residential,Tuesday,20-May,38.622953,-121.450142
5980 79TH ST,SACRAMENTO,95824,2,1,868,90000,103.69,25,6,Residential,Tuesday,20-May,38.518373,-121.411779
7607 ELDER CREEK RD,SACRAMENTO,95824,3,1,924,92000,99.57,14,3,Residential,Tuesday,20-May,38.51055,-121.414768
5028 14TH AVE,SACRAMENTO,95820,2,1,610,93675,153.57,22,7,Residential,Tuesday,20-May,38.53942,-121.446894
14788 NATCHEZ CT,RANCHO MURIETA,95683,2,2,749,97750,130.51,7,7,Residential,Tuesday,20-May,38.492287,-121.100032
1069 ACACIA AVE,SACRAMENTO,95815,2,1,1220,98000,80.33,14,4,Residential,Tuesday,20-May,38.621998,-121.442238
5201 LAGUNA OAKS DR Unit 199,ELK GROVE,95758,1,1,722,98000,135.73,19,3,Condo,Tuesday,20-May,38.423251,-121.444489
3847 LAS PASAS WAY,SACRAMENTO,95864,3,1,1643,99000,60.26,20,4,Residential,Tuesday,20-May,38.588672,-121.373916
5201 LAGUNA OAKS DR Unit 172,ELK GROVE,95758,1,1,722,100000,138.5,21,9,Condo,Tuesday,20-May,38.423251,-121.444489
1121 CREEKSIDE WAY,GALT,95632,3,1,1080,106716,98.81,11,4,Residential,Tuesday,20-May,38.241514,-121.312199
5307 CABRILLO WAY,SACRAMENTO,95820,3,1,1039,111000,106.83,7,8,Residential,Tuesday,20-May,38.52712,-121.435348
3725 DON JULIO BLVD,NORTH HIGHLANDS,95660,3,1,1051,111000,105.61,16,7,Residential,Tuesday,20-May,38.67895,-121.379406
4803 MCCLOUD DR,SACRAMENTO,95842,2,2,967,114800,118.72,9,8,Residential,Tuesday,20-May,38.682279,-121.352817
10542 SILVERWOOD WAY,RANCHO CORDOVA,95670,3,1,1098,120108,109.39,15,7,Residential,Tuesday,20-May,38.587156,-121.295778
6318 39TH AVE,SACRAMENTO,95824,3,1,1050,123225,117.36,12,2,Residential,Tuesday,20-May,38.518942,-121.430158
211 MCDANIEL CIR,SACRAMENTO,95838,3,2,1110,123750,111.49,20,8,Residential,Tuesday,20-May,38.636565,-121.460383
3800 LYNHURST WAY,NORTH HIGHLANDS,95660,3,1,888,125000,140.77,19,3,Residential,Tuesday,20-May,38.650445,-121.374861
6139 HERMOSA ST,SACRAMENTO,95822,3,2,1120,125000,111.61,24,9,Residential,Tuesday,20-May,38.514665,-121.480411
2505 RHINE WAY,ELVERTA,95626,3,2,1080,126000,116.67,18,5,Residential,Tuesday,20-May,38.717976,-121.407684
3692 PAYNE WAY,NORTH HIGHLANDS,95660,3,1,957,129000,134.8,14,5,Residential,Tuesday,20-May,38.66654,-121.378298
604 MORRISON AVE,SACRAMENTO,95838,2,1,952,134000,140.76,14,8,Residential,Tuesday,20-May,38.637678,-121.452476
648 SANTA ANA AVE,SACRAMENTO,95838,3,2,1211,135000,111.48,19,2,Residential,Tuesday,20-May,38.658478,-121.450409
14 ASHLEY OAKS CT,SACRAMENTO,95815,3,2,1264,135500,107.2,12,4,Residential,Tuesday,20-May,38.61779,-121.436765
3174 NORTHVIEW DR,SACRAMENTO,95833,3,1,1080,140000,129.63,11,4,Residential,Tuesday,20-May,38.623817,-121.477827
840 TRANQUIL LN,GALT,95632,3,2,1266,140000,110.58,22,8,Residential,Tuesday,20-May,38.270617,-121.299205
5333 PRIMROSE DR Unit 19A,FAIR OAKS,95628,2,2,994,142500,143.36,13,8,Condo,Tuesday,20-May,38.662785,-121.276272
1035 MILLET WAY,SACRAMENTO,95834,3,2,1202,143500,119.38,10,4,Residential,Tuesday,20-May,38.631056,-121.48508
5201 LAGUNA OAKS DR Unit 126,ELK GROVE,95758,3,3,1149,145000,126.2,9,9,Condo,Tuesday,20-May,38.423251,-121.444489
3328 22ND AVE,SACRAMENTO,95820,2,1,722,145000,200.83,9,8,Residential,Tuesday,20-May,38.532727,-121.470783
8001 HARTWICK WAY,SACRAMENTO,95828,4,2,1448,145000,100.14,20,9,Residential,Tuesday,20-May,38.488623,-121.410582
7812 HARTWICK WAY,SACRAMENTO,95828,3,2,1188,145000,122.05,16,2,Residential,Tuesday,20-May,38.488611,-121.412808
4207 PAINTER WAY,NORTH HIGHLANDS,95660,4,2,1183,146000,123.42,17,7,Residential,Tuesday,20-May,38.692915,-121.367497
7458 WINKLEY WAY,SACRAMENTO,95822,3,1,1320,148500,112.5,25,8,Residential,Tuesday,20-May,38.487444,-121.491366
8354 SUNRISE WOODS WAY,SACRAMENTO,95828,3,2,1117,149000,133.39,15,5,Residential,Tuesday,20-May,38.473288,-121.3963
8116 COTTONMILL CIR,SACRAMENTO,95828,3,2,1364,150000,109.97,23,7,Residential,Tuesday,20-May,38.482876,-121.405912
4660 CEDARWOOD WAY,SACRAMENTO,95823,4,2,1310,150000,114.5,5,8,Residential,Tuesday,20-May,38.484834,-121.449316
9254 HARROGATE WAY,ELK GROVE,95758,2,2,1006,152000,151.09,8,6,Residential,Tuesday,20-May,38.420138,-121.412179
